qa_id,question,answer,category,subcategory,source_type,source_record_id,source_id,source_url,source_page,entity,stability_tag,verification_status,notes
QA158,What is the Massey University partnership?,Mahindra University and Massey University celebrate a new partnership with a delegation visit to New Zealand.,Events & News,News,website,MU-176,SRC-W-02,https://www.mahindrauniversity.edu.in/,Mahindra University: Best Private University in Hyderabad,Massey University partnership,Changes each term,Pending,
QA159,What was announced about M&M shares received as an endowment contribution?,Announcement about monetisation of M&M shares received as an endowment contribution.,Events & News,News,website,MU-177,SRC-W-02,https://www.mahindrauniversity.edu.in/,Mahindra University: Best Private University in Hyderabad,Monetisation of M&M shares received as endowment contribution,Changes each term,Pending,
QA160,What contribution of M&M shares was announced by Anuradha and Anand Mahindra?,Announcement of a contribution of M&M shares by Anuradha and Anand Mahindra to Mahindra University.,Events & News,News,website,MU-178,SRC-W-02,https://www.mahindrauniversity.edu.in/,Mahindra University: Best Private University in Hyderabad,Contribution of M&M shares by Anuradha and Anand Mahindra,Changes each term,Pending,
QA161,Who won the 2026 Sang Soo Lee Award from Optica?,Mahindra University's Bishnu Pal wins the 2026 Sang Soo Lee Award from Optica.,Events & News,News,website,MU-179,SRC-W-02,https://www.mahindrauniversity.edu.in/,Mahindra University: Best Private University in Hyderabad,Bishnu Pal wins 2026 Sang Soo Lee Award from Optica,Changes each term,Pending,
QA162,What is Mahindra University's partnership with Boltzmann Labs?,Mahindra University partners with Boltzmann Labs to advance AI-driven life sciences research.,Events & News,News,website,MU-180,SRC-W-02,https://www.mahindrauniversity.edu.in/,Mahindra University: Best Private University in Hyderabad,Partnership with Boltzmann Labs,Changes each term,Pending,
QA163,Where is the École Centrale School of Engineering on campus?,"The campus map has a label for the École Centrale School of Engineering (spelling still to be verified) and a wayfinding sign that reads 'left arrow, 5 min from sign'. The website lists it as one of the seven schools but gives no location.",Campus & Facilities,Campus Map,campus_map; website,MAP-001; MAP-018; MU-011; MU-012,SRC-M-01; SRC-M-02; SRC-W-02,https://www.mahindrauniversity.edu.in/,closeup; full_sign; Mahindra University: Best Private University in Hyderabad,École Centrale School of Engineering,Needs review,Pending,Multi-source. Stability marked for review because the wayfinding part depends on the unrecorded sign position.
QA164,Where is the Academic Block?,"The campus map has an 'Academic Block' label, and a wayfinding sign for it reads 'left arrow, 6 min from sign'. No other location detail is recorded.",Campus & Facilities,Campus Map,campus_map,MAP-002; MAP-015,SRC-M-01; SRC-M-02,,closeup; full_sign,Academic Block,Needs review,Pending,Stability marked for review because the wayfinding part depends on the unrecorded sign position.
QA165,Where is the Vineet Nayyar Academic Block?,"The campus map has a 'Vineet Nayyar Academic Block' label, and a wayfinding sign for it reads 'left arrow, 9 min from sign'. No other location detail is recorded.",Campus & Facilities,Campus Map,campus_map,MAP-003; MAP-017,SRC-M-01; SRC-M-02,,closeup; full_sign,Vineet Nayyar Academic Block,Needs review,Pending,Stability marked for review because the wayfinding part depends on the unrecorded sign position.
QA166,Where is Hostel 5?,"A wayfinding sign for Hostel 5 on the campus map reads 'straight, 1 min from sign'. No other location detail is recorded.",Campus & Facilities,Campus Map,campus_map,MAP-012,SRC-M-02,,full_sign,Hostel 5,Needs review,Pending,Stability marked for review because the wayfinding part depends on the unrecorded sign position.
QA167,"Where are Hostels 1, 2, 3 and 4?","A wayfinding sign for 'Hostel 1, 2, 3, 4' on the campus map reads 'left arrow, 8 min from sign'. No other location detail is recorded.",Campus & Facilities,Campus Map,campus_map,MAP-019,SRC-M-02,,full_sign,"Hostel 1, 2, 3, 4",Needs review,Pending,Stability marked for review because the wayfinding part depends on the unrecorded sign position.
QA168,Is there a soccer field on the campus map?,"Yes. The campus map has a label for a 'Soccer Field'. No direction, distance or other location detail is recorded.",Campus & Facilities,Campus Map,campus_map,MAP-006,SRC-M-01,,closeup,Soccer Field,Stable,Pending,
QA169,Where is the Convention Centre?,"The campus map has a 'Convention Centre' label, and a wayfinding sign (spelled 'Convention Center') reads 'left arrow, 9 min from sign'. No other location detail is recorded.",Campus & Facilities,Campus Map,campus_map,MAP-007; MAP-016,SRC-M-01; SRC-M-02,,closeup; full_sign,Convention Centre,Needs review,Pending,Stability marked for review because the wayfinding part depends on the unrecorded sign position.
QA170,Is there an NCC office on campus?,The campus map has a label for an 'NCC Office'. No other detail is recorded.,Campus & Facilities,Campus Map,campus_map,MAP-008,SRC-M-01,,closeup,NCC Office,Stable,Pending,
QA171,Is there an Infra Office on campus?,The campus map has a label for an 'Infra Office'. No other detail is recorded.,Campus & Facilities,Campus Map,campus_map,MAP-009,SRC-M-01,,closeup,Infra Office,Stable,Pending,
QA172,Where is the Main Gate?,"A wayfinding sign for the Main Gate on the campus map reads 'left arrow, 7 min from sign'. No other location detail is recorded.",Campus & Facilities,Campus Map,campus_map,MAP-010,SRC-M-02,,full_sign,Main Gate,Needs review,Pending,Stability marked for review because the wayfinding part depends on the unrecorded sign position.
QA173,Where is the Health Care Centre?,"A wayfinding sign for the Health Care Centre on the campus map reads 'straight, 1 min from sign'. No other location detail is recorded.",Campus & Facilities,Campus Map,campus_map,MAP-011,SRC-M-02,,full_sign,Health Care Centre,Needs review,Pending,Stability marked for review because the wayfinding part depends on the unrecorded sign position.
QA174,How do I find the schools on the campus map?,"A wayfinding sign labelled 'Schools' on the campus map reads 'down arrow, 2 min from sign'. The sign does not name individual schools.",Campus & Facilities,Campus Map,campus_map,MAP-013,SRC-M-02,,full_sign,Schools,Needs review,Pending,Stability marked for review because the wayfinding part depends on the unrecorded sign position.
QA175,What places are marked on the Mahindra University campus map?,"Labels: École Centrale School of Engineering, Academic Block, Vineet Nayyar Academic Block, Hostels, Guest House, Soccer Field, Convention Centre, NCC Office and Infra Office. Wayfinding signs: Main Gate, Health Care Centre, Hostel 5, Schools, Guest House, Academic Block, Convention Center, Vineet Nayyar Academic Block, École Centrale School of Engineering and Hostel 1, 2, 3, 4.",Campus & Facilities,Campus Map,campus_map,MAP-001; MAP-002; MAP-003; MAP-004; MAP-005; MAP-006; MAP-007; MAP-008; MAP-009; MAP-010; MAP-011; MAP-012; MAP-013; MAP-014; MAP-015; MAP-016; MAP-017; MAP-018; MAP-019,SRC-M-01; SRC-M-02,,closeup; full_sign,Campus map,Stable,Pending,
